,pm2.5_Real,pm2.5_1_CNNLSTM_7,pm2.5_2_LSTM_7,pm2.5_3_LSTM_dropout_7,pm2.5_4_RandomForest_7,pm2.5_5_ExtraTrees_7,pm2.5_6_XGB_7,pm2.5_7_XGBRF_7,pm2.5_8_XGBRF_DART_7,pm2.5_9_GradientBoosting_7,pm2.5_10_SVR_7,pm2.5_11_NARX_RandomForest_7,pm2.5_12_NARX_ExtraTrees_7,pm2.5_13_NARX_XGB_7,pm2.5_14_NARX_XGBRF_7,pm2.5_15_NARX_GradientBoosting_7,pm2.5_16_NARX_SVR_7,pm2.5_17_NARX_XGBRF_DART_7,pm2.5_18_DAR_XGBRF_7
0,86.0,68.25102233886719,70.29906463623047,61.2618293762207,85.49810408588344,84.30369755876784,73.53899383544922,70.89061737060547,70.89054870605469,70.85033711785128,123.62575326232805,67.6711431755925,74.61474416891022,40.36801274364412,67.8185846047719,70.90751121436716,130.11625077287158,67.81860440841466,206.7081654751131
1,73.0,89.40235900878906,89.19905853271484,79.16454315185547,89.25067864401983,98.65440043336972,90.15292358398438,86.44322967529297,86.44316101074219,81.37147061922886,124.15096191925429,35.7341429942654,51.59122502239772,80.29221265069077,34.28910306620213,30.444349491556466,130.39383448274455,34.289162477130404,199.87856241231472
2,64.0,66.29452514648438,83.62600708007812,80.76377868652344,79.39236926862465,73.08162582956119,58.7457160949707,74.45925903320312,74.45929718017578,69.98159001470972,124.05658830036658,44.36239200774487,43.17689902597021,26.34983423732149,32.20126772193953,32.23234214454753,129.69121497776683,32.20127762376091,175.93706732392758
3,72.0,56.09124374389648,67.32093048095703,69.92156982421875,113.81623118937584,80.12327554726645,61.97892761230469,116.00886535644533,116.00891876220705,62.97354367605603,122.55515439999668,44.380218702353936,43.68496712492159,51.614168103634114,35.39996530236759,35.65477225172038,129.7392788057077,35.39998840661747,101.44823956961731
4,72.0,69.11997985839844,65.50020599365234,68.0523452758789,114.6273575525008,77.2887882295399,108.96986389160156,104.1636734008789,104.1636734008789,68.85788491239526,122.84411298488828,47.11665749166648,38.71124560168314,42.980496093628325,34.669643264193176,31.614676302562277,129.7962863691271,34.66968287147869,140.01424954611494
5,49.0,67.67542266845703,63.06828308105469,66.27302551269531,113.84297146233192,75.82697761961452,106.03629302978516,103.56632995605467,103.56634521484376,73.48468715281658,123.2889948343156,48.28432315996826,47.69603375530908,58.01797964474328,45.34323240420555,43.749077028392726,130.1022154948164,45.343265410276814,67.8185846047719
6,48.0,40.83650970458984,45.47846221923828,49.06834030151367,77.68098128700161,58.51699894772519,60.53909683227539,58.79305648803711,58.79302978515625,43.97202719482701,123.09532847903952,48.640862399132935,57.56325635423601,41.92857940012704,48.371123565860415,45.601631572748936,130.4697290414951,48.37116317314593,34.28910306620213
7,34.0,41.96017456054688,40.255008697509766,41.35014724731445,69.4449257270567,52.6073611460368,44.31671905517578,54.37083053588867,54.370849609375,43.634588348122726,121.58854152555529,46.68881020333184,53.061948888860925,60.842097923649945,48.84705791100862,45.47057186725255,130.73036049517475,48.84705791100862,32.20126772193953
8,40.0,30.80857276916504,34.20896530151367,32.41224670410156,44.75458432256999,35.81436403592463,40.10400390625,33.106204986572266,33.10625076293945,32.1194581650051,120.4230414391916,43.86323674450392,39.468891064080665,81.61001965305256,42.30339964596863,43.01026008001661,131.11362838365832,42.30343265203989,35.39996530236759
9,39.0,34.01353073120117,36.24115753173828,33.56119155883789,51.502089040891015,42.86492683688585,43.95320892333984,45.31007385253906,45.3100471496582,36.8199505369505,120.96832734305067,45.1913452552638,35.58261358162701,78.59713305139272,41.47068287292271,42.09651706502456,131.28980997111964,41.47072908142247,34.669643264193176
10,30.0,40.17337417602539,37.21751022338867,31.033916473388672,56.23514691930614,40.86830723618918,46.98416519165039,40.62773513793945,40.6276741027832,35.97347175668084,120.38935070776118,45.48548999885097,42.009232829571296,81.64855754185633,38.2799991665967,40.77418220606985,131.57232239127788,38.27999256538245,45.34323240420555
11,32.0,29.574371337890625,35.10966873168945,28.783855438232425,32.33810662735093,32.2489719248295,36.47215270996094,30.36888694763184,30.36893844604492,30.063605076343503,119.912745763503,46.0648662294875,44.13955453768499,88.5193587828021,38.2799991665967,40.77418220606985,131.62783912912417,38.27999256538245,48.371123565860415
